trip_id,arrival_time,departure_time,stop_id,stop_sequence
228081,18:24:00,18:24:00,24483,2
228081,18:27:00,18:27:00,5102,3
228081,18:31:00,18:31:00,7713,4
228081,18:32:00,18:32:00,7637,5
228081,18:33:00,18:33:00,7635,6
228081,18:34:00,18:34:00,7715,7
228081,18:36:00,18:36:00,7633,8
228082,18:38:00,18:38:00,7686,1
228082,18:40:00,18:40:00,24483,2
228082,18:43:00,18:43:00,5102,3
228082,18:47:00,18:47:00,7713,4
228082,18:48:00,18:48:00,7637,5
228082,18:49:00,18:49:00,7635,6
228082,18:50:00,18:50:00,7715,7
228082,18:52:00,18:52:00,7633,8
228083,18:54:00,18:54:00,7686,1
228083,18:56:00,18:56:00,24483,2
228083,18:59:00,18:59:00,5102,3
228083,19:03:00,19:03:00,7713,4
228083,19:04:00,19:04:00,7637,5
228083,19:05:00,19:05:00,7635,6
228083,19:06:00,19:06:00,7715,7
228083,19:08:00,19:08:00,7633,8
228084,19:10:00,19:10:00,7686,1
228084,19:12:00,19:12:00,24483,2
228084,19:15:00,19:15:00,5102,3
228084,19:19:00,19:19:00,7713,4
228084,19:20:00,19:20:00,7637,5
228084,19:21:00,19:21:00,7635,6
228084,19:22:00,19:22:00,7715,7
228084,19:24:00,19:24:00,7633,8
228085,19:26:00,19:26:00,7686,1
228085,19:28:00,19:28:00,24483,2
228085,19:31:00,19:31:00,5102,3
228085,19:35:00,19:35:00,7713,4
228085,19:36:00,19:36:00,7637,5
228085,19:37:00,19:37:00,7635,6
228085,19:38:00,19:38:00,7715,7
228085,19:40:00,19:40:00,7633,8
228086,19:42:00,19:42:00,7686,1
228086,19:44:00,19:44:00,24483,2
228086,19:47:00,19:47:00,5102,3
228086,19:51:00,19:51:00,7713,4
228086,19:52:00,19:52:00,7637,5
228086,19:53:00,19:53:00,7635,6
228086,19:54:00,19:54:00,7715,7
228086,19:56:00,19:56:00,7633,8
228087,19:58:00,19:58:00,7686,1
228087,20:00:00,20:00:00,24483,2
228087,20:03:00,20:03:00,5102,3
228087,20:07:00,20:07:00,7713,4
228087,20:08:00,20:08:00,7637,5
228087,20:09:00,20:09:00,7635,6
228087,20:10:00,20:10:00,7715,7
228087,20:12:00,20:12:00,7633,8
228088,20:14:00,20:14:00,7686,1
228088,20:16:00,20:16:00,24483,2
228088,20:19:00,20:19:00,5102,3
228088,20:23:00,20:23:00,7713,4
228088,20:24:00,20:24:00,7637,5
228088,20:25:00,20:25:00,7635,6
228088,20:26:00,20:26:00,7715,7
228088,20:28:00,20:28:00,7633,8
228089,20:30:00,20:30:00,7686,1
228089,20:32:00,20:32:00,24483,2
228089,20:35:00,20:35:00,5102,3
228089,20:39:00,20:39:00,7713,4
228089,20:40:00,20:40:00,7637,5
228089,20:41:00,20:41:00,7635,6
228089,20:42:00,20:42:00,7715,7
228089,20:44:00,20:44:00,7633,8
228141,20:46:00,20:46:00,7686,1
228141,20:48:00,20:48:00,24483,2
228141,20:51:00,20:51:00,5102,3
228141,20:55:00,20:55:00,7713,4
228141,20:56:00,20:56:00,7637,5
228141,20:57:00,20:57:00,7635,6
228141,20:58:00,20:58:00,7715,7
228141,21:00:00,21:00:00,7633,8
